Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,部分,國家,城市,狀態,Postal Code,地區,Product ID,類別,子類別,產品名稱,Sales
1,CA-2017-152156,08/11/2017,11/11/2017,Second Class,CG-12520,Claire Gute,消費者,美國,亨德森,肯塔基州,42420,南,FUR-BO-10001798,家具,書櫃,布什薩默塞特收藏書櫃,261.96
2,CA-2017-152156,08/11/2017,11/11/2017,Second Class,CG-12520,Claire Gute,消費者,美國,亨德森,肯塔基州,42420,南,FUR-CH-10000454,家具,椅子,Hon 豪華織物軟墊堆疊椅，圓背,731.94
3,CA-2017-138688,12/06/2017,16/06/2017,Second Class,DV-13045,Darrin Van Huff,公司的,美國,洛杉磯,加利福尼亞,90036,西方,OFF-LA-10000240,辦公用品,標籤,Universal 打字機不干膠地址標籤,14.62
4,US-2016-108966,11/10/2016,18/10/2016,Standard Class,SO-20335,Sean O'Donnell,消費者,美國,勞德代爾堡,佛羅里達,33311,南,FUR-TA-10000577,家具,表,Bretford CR4500 系列超薄矩形桌,957.5775
5,US-2016-108966,11/10/2016,18/10/2016,Standard Class,SO-20335,Sean O'Donnell,消費者,美國,勞德代爾堡,佛羅里達,33311,南,OFF-ST-10000760,辦公用品,貯存,Eldon Fold 'N 滾動推車系統,22.368
6,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,消費者,美國,洛杉磯,加利福尼亞,90032,西方,FUR-FU-10001487,家具,陳設,Eldon Expressions 木材和塑料辦公桌配件，櫻桃木,48.86
7,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,消費者,美國,洛杉磯,加利福尼亞,90032,西方,OFF-AR-10002833,辦公用品,藝術,紐厄爾 322,7.28
8,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,消費者,美國,洛杉磯,加利福尼亞,90032,西方,TEC-PH-10002275,技術,電話,Mitel 5320 IP 電話 VoIP 電話,907.152
9,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,消費者,美國,洛杉磯,加利福尼亞,90032,西方,OFF-BI-10003910,辦公用品,粘合劑,Samsill 帶鎖環的 DXL 角視圖活頁夾,18.504
10,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,消費者,美國,洛杉磯,加利福尼亞,90032,西方,OFF-AP-10002892,辦公用品,家電,貝爾金 F5C206VTEL 6 出口浪湧,114.9
11,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,消費者,美國,洛杉磯,加利福尼亞,90032,西方,FUR-TA-10001539,家具,表,Chromcraft 矩形會議桌,1706.184
12,CA-2015-115812,09/06/2015,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,消費者,美國,洛杉磯,加利福尼亞,90032,西方,TEC-PH-10002033,技術,電話,Konftel 250 會議電話 - 炭黑色,911.424
13,CA-2018-114412,15/04/2018,20/04/2018,Standard Class,AA-10480,Andrew Allen,消費者,美國,和睦,北卡羅來納,28027,南,OFF-PA-10002365,辦公用品,紙,施樂 1967,15.552
14,CA-2017-161389,05/12/2017,10/12/2017,Standard Class,IM-15070,Irene Maddox,消費者,美國,西雅圖,華盛頓,98103,西方,OFF-BI-10003656,辦公用品,粘合劑,Fellowes PB200 塑料梳子裝訂機,407.976
15,US-2016-118983,22/11/2016,26/11/2016,Standard Class,HP-14815,Harold Pawlan,在家辦公,美國,沃思堡,德克薩斯州,76106,中央,OFF-AP-10002311,辦公用品,家電,用於 HEPA 空氣淨化器的 Holmes 替換過濾器，超大房間，HEPA 過濾器,68.81
16,US-2016-118983,22/11/2016,26/11/2016,Standard Class,HP-14815,Harold Pawlan,在家辦公,美國,沃思堡,德克薩斯州,76106,中央,OFF-BI-10000756,辦公用品,粘合劑,Storex DuraTech 再生塑料磨砂粘合劑,2.544
17,CA-2015-105893,11/11/2015,18/11/2015,Standard Class,PK-19075,Pete Kriz,消費者,美國,麥迪遜,威斯康星州,53711,中央,OFF-ST-10004186,辦公用品,貯存,"Stur-D-Stor 擱板，垂直 5 層：72""H x 36""W x 18 1/2""D",665.88
18,CA-2015-167164,13/05/2015,15/05/2015,Second Class,AG-10270,Alejandro Grove,消費者,美國,西約旦,猶他州,84084,西方,OFF-ST-10000107,辦公用品,貯存,Fellowes 超級存儲/抽屜,55.5
19,CA-2015-143336,27/08/2015,01/09/2015,Second Class,ZD-21925,Zuschuss Donatelli,消費者,美國,舊金山,加利福尼亞,94109,西方,OFF-AR-10003056,辦公用品,藝術,紐厄爾 341,8.56
20,CA-2015-143336,27/08/2015,01/09/2015,Second Class,ZD-21925,Zuschuss Donatelli,消費者,美國,舊金山,加利福尼亞,94109,西方,TEC-PH-10001949,技術,電話,思科 SPA 501G IP 電話,213.48
21,CA-2015-143336,27/08/2015,01/09/2015,Second Class,ZD-21925,Zuschuss Donatelli,消費者,美國,舊金山,加利福尼亞,94109,西方,OFF-BI-10002215,辦公用品,粘合劑,Wilson Jones 掛圖活頁夾，白色，1 英寸,22.72
22,CA-2017-137330,09/12/2017,13/12/2017,Standard Class,KB-16585,Ken Black,公司的,美國,弗里蒙特,內布拉斯加州,68025,中央,OFF-AR-10000246,辦公用品,藝術,紐維爾 318,19.46
23,CA-2017-137330,09/12/2017,13/12/2017,Standard Class,KB-16585,Ken Black,公司的,美國,弗里蒙特,內布拉斯加州,68025,中央,OFF-AP-10001492,辦公用品,家電,Acco 六插座電源板，4' 線長,60.34
24,US-2018-156909,16/07/2018,18/07/2018,Second Class,SF-20065,Sandra Flanagan,消費者,美國,費城,賓夕法尼亞州,19140,東方,FUR-CH-10002774,家具,椅子,"Global Deluxe Stacking Chair, 灰色",71.372
25,CA-2016-106320,25/09/2016,30/09/2016,Standard Class,EB-13870,Emily Burns,消費者,美國,奧勒姆,猶他州,84057,西方,FUR-TA-10000577,家具,表,Bretford CR4500 系列超薄矩形桌,1044.63
26,CA-2017-121755,16/01/2017,20/01/2017,Second Class,EH-13945,Eric Hoffmann,消費者,美國,洛杉磯,加利福尼亞,90049,西方,OFF-BI-10001634,辦公用品,粘合劑,Wilson Jones 積極使用粘合劑,11.648
27,CA-2017-121755,16/01/2017,20/01/2017,Second Class,EH-13945,Eric Hoffmann,消費者,美國,洛杉磯,加利福尼亞,90049,西方,TEC-AC-10003027,技術,配件,Imation8GB Mini TravelDrive USB 2.0閃存盤,90.57
